Analysis,LE Donor (yr),LE Non-donor (yr),ΔLE (days),Note
"Base case (age 40, overall)",38.04,38.15,-40.5,n=5M/arm
PSA (probabilistic),—,—,"+25.8 [-1091.8, +1064.6]",P(beneficial)=48%
Age at donation: 25,51.63,51.78,-56.1,
Age at donation: 35,42.51,42.64,-46.5,
Age at donation: 40,38.04,38.15,-40.4,
Age at donation: 45,33.66,33.75,-33.8,
Age at donation: 55,25.26,25.31,-19.6,
Race: White donor,38.07,38.15,-27.2,age 40
Race: Overall (base),38.03,38.15,-40.4,age 40
Race: Black donor,37.85,38.08,-81.2,age 40
Sex: Female donor,40.45,40.48,-33.5,age 40
Sex: Overall (base),38.06,38.17,-40.4,age 40
Sex: Male donor,35.96,36.09,-49.4,age 40
Sensitivity: No priority (PLD=standard),—,—,-41.1,OWSA
Sensitivity: Donor mort HR=1.30 (Mjøen),—,—,-1069.9,OWSA
Sensitivity: ESRD RR ×11 (Mjøen upper),—,—,-58.6,OWSA
Sensitivity: PLD wait 50 days (optimistic),—,—,-40.4,OWSA
Sensitivity: Post-Tx: LDKT quality,—,—,-32.4,OWSA
